Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
The Purge: Election Year,Universal,Horror,79042440.0,9137854.0,37.0,2016.0,17,555.1818181818182,250.0
Assassin's Creed,20th Century Fox,Action,36415167.0,4209846.0,77.0,2016.0,13,533.5601965601966,216.3472812621116
The Wild Life,Lionsgate,Adventure,8005586.0,925501.0,155.0,2016.0,5,533.1547911547912,289.2404138656898
Neighbors 2: Sorority Rising,Universal,Comedy,55340730.0,6397772.0,59.0,2016.0,15,490.58661072946785,274.6476068952292
The Brothers Grimsby,Sony Pictures,Comedy,6864016.0,793527.0,160.0,2016.0,5,480.8746670808655,230.7081240743496
The Choice,Lionsgate,Drama,18730891.0,2165420.0,116.0,2016.0,7,501.94641612464324,188.69644245796994
Money Monster,Sony Pictures,Thriller/Suspense,41012075.0,4741280.0,71.0,2016.0,13,542.3795937960747,177.33166602416125
Masterminds,Relativity,Comedy,17356894.0,2006577.0,120.0,2016.0,7,573.993374231628,204.98250482830292
Green Room,A24,Horror,3220371.0,372297.0,197.0,2016.0,3,599.8135704021072,244.25485476713362
Star Trek Beyond,Paramount Pictures,Adventure,158848340.0,18363969.0,17.0,2016.0,20,577.7865433750801,283.4952686328234
The Shallows,Sony Pictures,Thriller/Suspense,55121623.0,6372441.0,60.0,2016.0,15,564.7289466133636,321.30398676513266
The Finest Hours,Walt Disney,Thriller/Suspense,27569558.0,3187232.0,95.0,2016.0,9,525.2247952685823,335.5665961522188
Moana,Walt Disney,Musical,210046114.0,24282787.0,12.0,2016.0,20,488.82733688644004,314.6089001118562
Daddy's Home,Paramount Pictures,Comedy,56467276.0,6528008.0,55.0,2016.0,15,455.09947871427624,293.1046776632672
Ride Along 2,Universal,Comedy,90862685.0,10504356.0,32.0,2016.0,17,442.98402484652416,254.98361029129592
Arrival,Paramount Pictures,Drama,92191690.0,10657998.0,31.0,2016.0,17,438.6232685098403,215.22202324837127
Maggie's Plan,Sony Pictures Cla...,Comedy,3351735.0,387483.0,193.0,2016.0,3,457.2230458812585,174.24583160329917
Teenage Mutant Ninja Turtle...,Paramount Pictures,Adventure,82051601.0,9485734.0,36.0,2016.0,17,493.4587573183074,147.5630053539881
The Hunger Games: Mockingja...,Lionsgate,Thriller/Suspense,7538507.0,871503.0,157.0,2016.0,5,535.9651472190803,132.7911802262842
Suicide Squad,Warner Bros.,Action,325100054.0,37583821.0,9.0,2016.0,22,575.3118496409081,154.62777814189678
God's Not Dead 2,Pure Flix Enterta...,Drama,20773069.0,2401510.0,110.0,2016.0,9,609.5099419687767,179.00995362183642
Fences,Paramount Pictures,Drama,29743615.0,3438568.0,91.0,2016.0,9,635.9385408257735,214.1884863151701
My Big Fat Greek Wedding 2,Universal,Comedy,59689605.0,6900532.0,53.0,2016.0,15,643.3796699314637,255.52405934412968
Don't Breathe,Sony Pictures,Horror,89217875.0,10314205.0,33.0,2016.0,17,617.6957410167008,286.1889545094715
Kubo and the Two Strings,Focus Features,Adventure,48023088.0,5551802.0,64.0,2016.0,15,604.6381442549844,323.9976726417808
Almost Christmas,Universal,Drama,42002805.0,4855815.0,70.0,2016.0,15,582.3507450351815,357.2132087057543
Allied,Paramount Pictures,Drama,39598941.0,4577912.0,72.0,2016.0,13,545.3569852638584,372.4270753405595
The Magnificent Seven,Sony Pictures,Western,93420253.0,10800029.0,30.0,2016.0,20,505.35724198237943,372.57038415317743
Sultan,Yash Raj Films,Action,5599781.0,647373.0,165.0,2016.0,5,464.954976988147,352.7548098911021
Joy,20th Century Fox,Drama,28141138.0,3253310.0,94.0,2016.0,9,427.31820893481284,324.60390066067896
The Man Who Knew Infinity,IFC Films,Drama,3877922.0,448314.0,183.0,2016.0,3,407.12075938094597,282.16496769201206
Miracles from Heaven,Sony Pictures,Drama,61705123.0,7133540.0,51.0,2016.0,15,405.20595463288544,237.20572478494336
Storks,Warner Bros.,Adventure,72414850.0,8371659.0,42.0,2016.0,17,402.8761675714764,197.27363127297616
Brooklyn,Fox Searchlight,Drama,18758748.0,2168641.0,115.0,2016.0,7,413.63138607258463,156.67405892309273
Alvin and the Chipmunks: Th...,20th Century Fox,Adventure,30311560.0,3504226.0,88.0,2016.0,13,446.50986272684605,130.53967978573445
Point Break,Warner Bros.,Action,13197946.0,1525774.0,132.0,2016.0,5,482.74557416389496,103.85685353642342
Don't Think Twice,Film Arcade,Comedy,4417983.0,510749.0,174.0,2016.0,3,528.357270072529,83.37336759437
Mike and Dave Need Wedding ...,20th Century Fox,Comedy,46009673.0,5319037.0,68.0,2016.0,15,569.1421133802871,102.38905996571458
The Martian,20th Century Fox,Thriller/Suspense,3088310.0,357030.0,200.0,2016.0,3,608.4888158021149,124.2256578813271
Manchester-by-the Sea,Roadside Attractions,Drama,28470697.0,3291410.0,93.0,2016.0,9,645.3121345414206,153.43256112394243
Spotlight,Open Road,Drama,17946804.0,2074775.0,118.0,2016.0,7,671.7407333984174,188.61109381727613
The Legend of Tarzan,Warner Bros.,Adventure,126643061.0,14640816.0,23.0,2016.0,20,674.6370146802715,230.51111237021212
Alice Through the Looking G...,Walt Disney,Adventure,77042381.0,8906633.0,38.0,2016.0,17,680.6461257276076,270.05716886666676
Room,A24,Drama,9700702.0,1121468.0,145.0,2016.0,5,656.8993650234759,308.2813935947199
The Secret Life of Pets,Universal,Adventure,368384330.0,42587783.0,4.0,2016.0,25,636.383993196858,348.3328544771348
Now You See Me 2,Lionsgate,Thriller/Suspense,65075540.0,7523183.0,46.0,2016.0,17,614.0965939770551,381.54839054110835
Ice Age: Collision Course,20th Century Fox,Adventure,64063008.0,7406128.0,48.0,2016.0,17,577.1487838309881,396.87351127179716
Independence Day: Resurgence,20th Century Fox,Action,103144286.0,11924194.0,27.0,2016.0,20,540.155024059665,412.08737790660234
Hello My Name is Doris,Roadside Attractions,Drama,14444999.0,1669942.0,129.0,2016.0,7,498.19658933638107,413.9554666550084
Miss Sloane,EuropaCorp,Drama,3493636.0,403888.0,190.0,2016.0,3,452.93565324884463,401.2886728823152
Loving,Focus Features,Drama,7482608.0,865041.0,158.0,2016.0,5,414.1584697836639,369.7239767407757
Whiskey Tango Foxtrot,Paramount Pictures,Comedy,23083334.0,2668593.0,105.0,2016.0,9,384.2246654109077,333.4890853269249
Zootopia,Walt Disney,Adventure,341268248.0,39452976.0,7.0,2016.0,22,364.444471707229,296.4385261267596
Jack Reacher: Never Go Back,Paramount Pictures,Action,58574515.0,6771620.0,54.0,2016.0,15,369.93859947103465,256.81764072379343
Deadpool,20th Century Fox,Action,363070709.0,41973492.0,6.0,2016.0,22,368.0021618974644,216.86454059972712
Keeping Up with the Joneses,20th Century Fox,Comedy,14904426.0,1723055.0,127.0,2016.0,7,367.3506966309451,174.86959336786936
Everybody Wants Some,Paramount Pictures,Comedy,3400278.0,393095.0,192.0,2016.0,3,375.8976509543124,128.65325889839553
The Perfect Match,Lionsgate,Romantic Comedy,9669521.0,1117863.0,146.0,2016.0,5,415.410903656987,98.01500077469376
The Lady in the Van,Sony Pictures Cla...,Drama,10021175.0,1158517.0,144.0,2016.0,5,452.26338969969277,64.22307463142431
Captain America: Civil War,Walt Disney,Action,408084349.0,47177381.0,3.0,2016.0,25,495.6892542092345,52.425011587054485
Norm of the North,Lionsgate,Adventure,17062499.0,1972543.0,122.0,2016.0,7,534.674566650102,36.799858343391435
Star Wars Ep. VII: The Forc...,Walt Disney,Adventure,194453283.0,22480148.0,13.0,2016.0,20,568.0889901217017,62.24541402725498
Why Him?,20th Century Fox,Comedy,30633916.0,3541493.0,87.0,2016.0,13,604.2096851802594,79.42957500434892
Anomalisa,Paramount Pictures,Comedy,3548654.0,410249.0,189.0,2016.0,3,647.2329560096568,92.62041148807242
Florence Foster Jenkins,Paramount Pictures,Drama,27383770.0,3165753.0,96.0,2016.0,9,679.9785835517912,126.33574741805847
Midnight Special,Warner Bros.,Drama,3712282.0,429166.0,187.0,2016.0,3,710.5216886978155,162.05855145188121
Mother's Day,Open Road,Romantic Comedy,32492859.0,3756399.0,85.0,2016.0,13,709.4784778654432,207.04645772855986
Central Intelligence,Warner Bros.,Comedy,127440871.0,14733049.0,22.0,2016.0,20,713.2393897510922,246.86925951080997
Fantastic Beasts and Where ...,Warner Bros.,Adventure,222675573.0,25742841.0,11.0,2016.0,20,717.0240763021727,286.68980882532935
La La Land,Lionsgate,Musical,34268613.0,3961689.0,83.0,2016.0,13,699.5384994534659,322.66555902276053
Rogue One: A Star Wars Story,Walt Disney,Adventure,424987707.0,49131526.0,2.0,2016.0,25,675.8426443414098,354.89142519433835
Bleed for This,Open Road,Drama,5083906.0,587734.0,168.0,2016.0,5,656.8220809834168,395.6739970792082
Popstar: Never Stop Never S...,Universal,Comedy,9496130.0,1097818.0,147.0,2016.0,5,617.3981556595038,426.42711256454595
Kung Fu Panda 3,20th Century Fox,Adventure,143528619.0,16592903.0,20.0,2016.0,20,573.5899156340995,436.71487742755517
Swiss Army Man,A24,Drama,4210454.0,486757.0,178.0,2016.0,3,533.1952375817636,456.5459133321202
X-Men: Apocalypse,20th Century Fox,Action,155442489.0,17970229.0,18.0,2016.0,20,488.2308490925905,454.75600612930083
The Jungle Book,Walt Disney,Adventure,364001123.0,42081054.0,5.0,2016.0,25,449.17180274530546,446.1309902776842
A Man Called Ove,Music Box Films,Comedy,3336006.0,385665.0,194.0,2016.0,3,409.18399537692073,425.491822129017
Nine Lives,EuropaCorp,Adventure,19700032.0,2277460.0,113.0,2016.0,7,374.0673830144698,394.2536477875905
Hunt for the Wilderpeople,The Orchard,Comedy,5205471.0,601788.0,167.0,2016.0,5,344.13357864171354,358.01875637373973
Moonlight,A24,Drama,12609768.0,1457776.0,135.0,2016.0,5,322.56701869937564,312.90907346359785
Eye in the Sky,Bleecker Street,Thriller/Suspense,18704596.0,2162381.0,117.0,2016.0,7,329.03613129928567,266.35640885490244
The Queen of Katwe,Walt Disney,Drama,8857311.0,1023966.0,152.0,2016.0,5,323.09371521511156,219.73358514073266
The Young Messiah,Focus Features,Drama,6469813.0,747955.0,161.0,2016.0,5,320.62550145007083,169.79454309134945
Criminal,Lionsgate,Action,14708696.0,1700427.0,128.0,2016.0,7,329.1724557734381,123.57820862187566
Absolutely Fabulous: The Movie,Fox Searchlight,Comedy,4772155.0,551694.0,172.0,2016.0,3,354.0292618911846,83.68912252524063
A Beautiful Planet,Walt Disney,Documentary,15650615.0,1809319.0,125.0,2016.0,7,392.6449208166384,56.89675634095181
The Revenant,20th Century Fox,Adventure,182765375.0,21128945.0,14.0,2016.0,20,424.13114885205863,29.100759433096272
Race,Focus Features,Drama,19115191.0,2209848.0,114.0,2016.0,7,464.8860007941792,18.949796760727253
Snowden,Open Road,Drama,21587519.0,2495666.0,106.0,2016.0,9,506.04288317971725,3.3898792704900984
Bridget Jones's Baby,Universal,Romantic Comedy,24139805.0,2790728.0,103.0,2016.0,9,549.2926155319485,-4.700896431527298
The Huntsman: Winter's War,Universal,Action,48003015.0,5549481.0,65.0,2016.0,15,579.9225951422479,24.035915310081236
Compadres,Lionsgate,Comedy,3127773.0,361592.0,199.0,2016.0,3,622.584614629197,38.35206330090509
Pride and Prejudice and Zom...,Sony Pictures,Comedy,10907291.0,1260958.0,140.0,2016.0,5,671.4629020770863,48.88358817442224
The Wanderers,Warner Bros.,Drama,5017811.0,580093.0,170.0,2016.0,5,704.6166862494811,86.31120625319215
London Has Fallen,Focus Features,Thriller/Suspense,62524260.0,7228238.0,50.0,2016.0,17,731.6181558434537,122.31010401084265
Carol,Weinstein Co.,Drama,7729016.0,893527.0,156.0,2016.0,5,760.2664392767422,157.01278195255153
Tyler Perry's Boo! A Madea ...,Lionsgate,Comedy,73206343.0,8463161.0,41.0,2016.0,17,748.9501435734796,200.5666733005852
The Forest,Focus / Gramercy,Horror,26594261.0,3074481.0,98.0,2016.0,9,754.9714642670992,242.13280972321397
Sully,Warner Bros.,Drama,124976335.0,14448131.0,24.0,2016.0,20,756.9392832874894,284.0866854476687
Barbershop: The Next Cut,Warner Bros.,Comedy,54030051.0,6246249.0,61.0,2016.0,15,739.4537064387825,320.06243564509987
Me Before You,Warner Bros.,Drama,56245075.0,6502321.0,56.0,2016.0,15,721.7504739203637,355.93158058052853
Dangal,UTV Communications,Action,9225794.0,1066565.0,149.0,2016.0,5,706.7499999781814,398.3578198848778
10 Cloverfield Lane,Paramount Pictures,Thriller/Suspense,72082999.0,8333294.0,43.0,2016.0,17,679.777651395674,434.37854186464534
Pete's Dragon,Walt Disney,Adventure,76233151.0,8813081.0,39.0,2016.0,17,648.3358113642519,459.1052621372263
