Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
,,,,,,,50,-16.360050861188654,12.118888677833082
Hyde Park on Hudson,Focus Features,Drama,3166260.0,389453.0,179.0,2013.0,3,25.639949138811346,12.118888677833082
The East,Fox Searchlight,Drama,2274649.0,279784.0,193.0,2013.0,3,-4.12195562309341,-28.058580442848353
Dark Skies,Weinstein Co.,Horror,17418667.0,2142517.0,123.0,2013.0,7,-3.55052705166484,48.95523078414492
Dallas Buyers Club,Focus Features,Drama,16300843.0,2005023.0,125.0,2013.0,7,-46.01822936491144,37.444615673149826
Escape Plan,Lionsgate,Thriller/Suspense,25063555.0,3082848.0,102.0,2013.0,9,-50.73561374048065,-6.301770287899982
Disney Planes,Walt Disney,Adventure,90282580.0,11104868.0,38.0,2013.0,17,-44.53984688268453,-47.84226225710799
The Hobbit: The Desolation ...,Warner Bros.,Adventure,228934309.0,28159201.0,10.0,2013.0,22,-12.81908569401762,-72.21013679740312
Machete Kills,Open Road,Action,8008161.0,985013.0,145.0,2013.0,5,31.29956827672765,-63.347610531735825
Fruitvale Station,Weinstein Co.,Drama,16098998.0,1980196.0,127.0,2013.0,7,56.26989092797182,-23.529486684764308
The Best Man Holiday,Universal,Comedy,70492685.0,8670686.0,49.0,2013.0,17,70.47259499244021,15.99624161032386
Parker,FilmDistrict,Thriller/Suspense,17616641.0,2166868.0,121.0,2013.0,7,49.69476550197841,52.496677246974784
Trance,Fox Searchlight,Thriller/Suspense,2322593.0,285681.0,191.0,2013.0,3,20.50428931150222,89.33301935328663
Austenland,Sony Pictures Cla...,Romantic Comedy,2137573.0,262924.0,197.0,2013.0,3,-29.481815343475322,88.15431607356223
Life of Pi,20th Century Fox,Drama,33947534.0,4175588.0,85.0,2013.0,13,-71.12945454643209,71.11101390466493
Thor: The Dark World,Walt Disney,Action,203449204.0,25024502.0,12.0,2013.0,20,-87.9356992963819,34.8129404378157
47 Ronin,Universal,Action,32687680.0,4020624.0,88.0,2013.0,13,-92.71224299985965,-4.90084344446837
The Iceman,Alchemy,Drama,1930282.0,237427.0,199.0,2013.0,3,-89.49785282793417,-49.78589324752226
Les Mis茅rables,Universal,Musical,45306730.0,5572783.0,74.0,2013.0,13,-60.75337476107445,-84.40893442913745
Zero Dark Thirty,Sony Pictures,Thriller/Suspense,91314578.0,11231805.0,37.0,2013.0,17,-29.032613572407545,-108.77680896943258
Runner Runner,20th Century Fox,Thriller/Suspense,19316646.0,2375971.0,116.0,2013.0,7,12.910992443686968,-106.60105292459644
This is 40,Universal,Comedy,13289310.0,1634601.0,133.0,2013.0,5,59.85889095383113,-104.3886276758696
Quartet,Weinstein Co.,Comedy,18388357.0,2261790.0,119.0,2013.0,7,78.75102251622684,-61.352743055832654
Inside Llewyn Davis,CBS Films,Drama,7757978.0,954240.0,147.0,2013.0,5,103.21313444314302,-21.2203984934348
Mud,Roadside Attractions,Drama,21590086.0,2655607.0,108.0,2013.0,9,111.48608099780898,25.045770089057953
Identity Thief,Universal,Comedy,134506920.0,16544516.0,19.0,2013.0,20,90.7082515073472,61.54620572570886
No,Sony Pictures Cla...,Drama,2341226.0,287973.0,190.0,2013.0,3,69.1172733698917,101.0282226836597
The Heat,20th Century Fox,Comedy,159581587.0,19628731.0,15.0,2013.0,20,36.05889255451423,131.55924719751255
Pulling Strings,Lionsgate,Romantic Comedy,5842961.0,718691.0,161.0,2013.0,5,-8.889349600155448,133.71691427219656
Free Birds,Relativity,Adventure,54894525.0,6752094.0,64.0,2013.0,15,-53.28150889392204,126.34560548495583
White House Down,Sony Pictures,Thriller/Suspense,73103784.0,8991855.0,45.0,2013.0,17,-88.3974365630147,107.19171230526382
Evil Dead,Sony Pictures,Horror,54239856.0,6671569.0,65.0,2013.0,15,-111.0102469559266,74.196852006511
The Guilt Trip,Paramount Pictures,Comedy,6022333.0,740754.0,158.0,2013.0,5,-132.9356159555607,34.89954682880342
Broken City,20th Century Fox,Thriller/Suspense,19701164.0,2423267.0,113.0,2013.0,7,-134.09304359467757,-12.086199533899066
The Conjuring,Warner Bros.,Horror,137400141.0,16900386.0,18.0,2013.0,20,-134.2919530715273,-54.08572851959151
Lee Daniels' The Butler,Weinstein Co.,Drama,116293662.0,14304263.0,25.0,2013.0,20,-113.17167838382159,-88.05533253724026
Kevin Hart: Let Me Explain,Lionsgate,Concert/Perfor...,32244051.0,3966057.0,89.0,2013.0,13,-84.86940043635079,-116.32158561372898
The Great Gatsby,Warner Bros.,Drama,144840419.0,17815549.0,17.0,2013.0,20,-53.14863924768389,-140.68946015402412
Much Ado About Nothing,Roadside Attractions,Romantic Comedy,4328850.0,532453.0,170.0,2013.0,5,-8.929623999830469,-149.0368364190613
Lincoln,Walt Disney,Drama,38118927.0,4688674.0,82.0,2013.0,13,35.557579036674966,-142.2627116793816
Frances Ha,IFC Films,Comedy,4066826.0,500224.0,171.0,2013.0,3,79.84866043189213,-150.21884823189552
Admission,Focus Features,Romantic Comedy,18007317.0,2214922.0,120.0,2013.0,7,106.33417064731871,-111.39208235282013
Gravity,Warner Bros.,Thriller/Suspense,255621667.0,31441779.0,7.0,2013.0,22,119.50421103481521,-71.51038183501734
Promised Land,Focus Features,Drama,3202459.0,393906.0,177.0,2013.0,3,150.12084793190667,-38.531274128597246
Getaway,Warner Bros.,Thriller/Suspense,10501938.0,1291751.0,139.0,2013.0,5,156.36247461583514,11.077617174660796
Now You See Me,Lionsgate,Thriller/Suspense,117723989.0,14480195.0,23.0,2013.0,20,142.13006647470755,53.76764596950193
The To Do List,CBS Films,Comedy,3491669.0,429479.0,172.0,2013.0,3,121.91224444083909,93.97012937795348
Cloudy with a Chance of Mea...,Sony Pictures,Adventure,117614237.0,14466695.0,24.0,2013.0,20,100.32126630338358,133.45214633590433
The Purge,Universal,Horror,64473115.0,7930272.0,54.0,2013.0,15,67.48918022445022,156.30065008791206
Mama,Universal,Horror,71628180.0,8810354.0,46.0,2013.0,17,30.347352961130508,171.1493762131297
Grown Ups 2,Sony Pictures,Comedy,133668525.0,16441392.0,20.0,2013.0,20,-8.930282526379457,178.7168956554766
Hansel & Gretel: Witch Hunters,Paramount Pictures,Action,55703475.0,6851595.0,63.0,2013.0,15,-46.792682948457525,165.81578584747086
The Book Thief,20th Century Fox,Drama,19091819.0,2348317.0,117.0,2013.0,7,-86.48027916602543,152.07188878472738
Epic,20th Century Fox,Adventure,107518682.0,13224930.0,28.0,2013.0,20,-121.75201877812202,129.2704768824689
