Movie;Distributor;Genre;Gross;Tickets Sold;rank;releaseYear
Iron Man 3;Walt Disney;Action;408992272;50306552;1;2013
The Hunger Games: Catching ...;Lionsgate;Adventure;407139699;50078683;2;2013
Despicable Me 2;Universal;Adventure;367956735;45259130;3;2013
Frozen;Walt Disney;Musical;296691729;36493447;4;2013
Man of Steel;Warner Bros.;Action;291045518;35798956;5;2013
Monsters University;Walt Disney;Adventure;268488329;33024394;6;2013
Gravity;Warner Bros.;Thriller/Suspense;255621667;31441779;7;2013
Fast and Furious 6;Universal;Action;238679850;29357915;8;2013
Oz the Great and Powerful;Walt Disney;Adventure;234770996;28877121;9;2013
The Hobbit: The Desolation ...;Warner Bros.;Adventure;228934309;28159201;10;2013
Star Trek Into Darkness;Paramount Pictures;Adventure;228778661;28140056;11;2013
Thor: The Dark World;Walt Disney;Action;203449204;25024502;12;2013
World War Z;Paramount Pictures;Action;202359711;24890493;13;2013
The Croods;20th Century Fox;Adventure;187168425;23021946;14;2013
The Heat;20th Century Fox;Comedy;159581587;19628731;15;2013
We're the Millers;Warner Bros.;Comedy;150394119;18498661;16;2013
The Great Gatsby;Warner Bros.;Drama;144840419;17815549;17;2013
The Conjuring;Warner Bros.;Horror;137400141;16900386;18;2013
Identity Thief;Universal;Comedy;134506920;16544516;19;2013
Grown Ups 2;Sony Pictures;Comedy;133668525;16441392;20;2013
The Wolverine;20th Century Fox;Action;132556852;16304655;21;2013
G.I. Joe: Retaliation;Paramount Pictures;Action;122523060;15070487;22;2013
Now You See Me;Lionsgate;Thriller/Suspense;117723989;14480195;23;2013
Cloudy with a Chance of Mea...;Sony Pictures;Adventure;117614237;14466695;24;2013
Lee Daniels' The Butler;Weinstein Co.;Drama;116293662;14304263;25;2013
The Hangover 3;Warner Bros.;Comedy;112200072;13800746;26;2013
Anchorman 2: The Legend Con...;Paramount Pictures;Comedy;108773941;13379328;27;2013
Epic;20th Century Fox;Adventure;107518682;13224930;28;2013
Captain Phillips;Sony Pictures;Drama;104834734;12894801;29;2013
Pacific Rim;Warner Bros.;Action;101802906;12521882;30;2013
Jackass Presents: Bad Grandpa;Paramount Pictures;Comedy;101625444;12500054;31;2013
This is the End;Sony Pictures;Comedy;101470202;12480959;32;2013
Olympus Has Fallen;FilmDistrict;Thriller/Suspense;98927592;12168215;33;2013
Silver Linings Playbook;Weinstein Co.;Drama;97416189;11982311;34;2013
42;Warner Bros.;Drama;95020213;11687603;35;2013
Elysium;Sony Pictures;Action;93050117;11445278;36;2013
Zero Dark Thirty;Sony Pictures;Thriller/Suspense;91314578;11231805;37;2013
Disney Planes;Walt Disney;Adventure;90282580;11104868;38;2013
The Lone Ranger;Walt Disney;Western;89302115;10984269;39;2013
Oblivion;Universal;Thriller/Suspense;89107235;10960299;40;2013
American Hustle;Sony Pictures;Black Comedy;87903772;10812272;41;2013
Insidious Chapter 2;FilmDistrict;Horror;83586447;10281235;42;2013
Turbo;20th Century Fox;Adventure;83028130;10212562;43;2013
2 Guns;Universal;Action;75612460;9300425;44;2013
White House Down;Sony Pictures;Thriller/Suspense;73103784;8991855;45;2013
Mama;Universal;Horror;71628180;8810354;46;2013
Safe Haven;Relativity;Drama;71399120;8782179;47;2013
The Smurfs 2;Sony Pictures;Adventure;71017784;8735274;48;2013
