title,artist,listType,Gross,Tickets Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank
Out of the Furnace,Relativity,Drama,11187536.0,1376080.0,136.0,2013.0,474.3777203226247,243.9123464792891,5,16.230310859437164
Metallica Through the Never,Picturehouse,Concert/Perfor...,3419967.0,420660.0,173.0,2013.0,471.5205774654819,236.43994829036225,3,15.045141459869427
The To Do List,CBS Films,Comedy,3491669.0,429479.0,172.0,2013.0,469.636298488993,230.7435026671019,3,15.0658904033619
Dallas Buyers Club,Focus Features,Drama,16300843.0,2005023.0,125.0,2013.0,479.6352092918508,230.5959128419345,7,16.60672738223108
21 and Over,Relativity,Comedy,25682380.0,3158964.0,101.0,2013.0,488.3774680313691,243.996394629218,9,17.061315711619315
Thor: The Dark World,Walt Disney,Action,203449204.0,25024502.0,12.0,2013.0,480.7581852020028,271.977576326318,20,19.130926919895103
Movie 43,Relativity,Comedy,8840453.0,1087386.0,143.0,2013.0,455.91348834335116,274.7598484197173,5,15.994848677644772
Don Jon,Relativity,Romantic Comedy,24475193.0,3010478.0,105.0,2013.0,444.31382383230556,282.5987120638425,9,17.013170631947304
The Incredible Burt Wonders...,Warner Bros.,Comedy,22537881.0,2772187.0,106.0,2013.0,426.41477901241433,280.69498032446177,9,16.93070805150889
Jack Reacher,Paramount Pictures,Thriller/Suspense,15373522.0,1890962.0,129.0,2013.0,413.8922852805678,270.73570571554245,7,16.54815723695476
The Smurfs 2,Sony Pictures,Adventure,71017784.0,8735274.0,48.0,2013.0,394.22932580588827,256.97460021136476,17,18.078440882514233
Saving Mr. Banks,Walt Disney,Drama,58958280.0,7251940.0,60.0,2013.0,398.42933841376754,225.2514242339558,15,17.892340633099618
Chennai Express,UTV Communications,Romantic Comedy,5307960.0,652885.0,167.0,2013.0,416.7439835220813,217.21564334119125,5,15.484718138610814
Jack the Giant Slayer,Warner Bros.,Adventure,65187603.0,8018155.0,53.0,2013.0,427.66802069552364,200.4625716278233,15,17.992779870781543
Jackass Presents: Bad Grandpa,Paramount Pictures,Comedy,101625444.0,12500054.0,31.0,2013.0,459.65088912177833,201.5095325768955,17,18.436804494826394
The Grandmaster,Weinstein Co.,Action,6594959.0,811188.0,154.0,2013.0,466.89437275039325,222.28287956099962,5,15.701816127283294
