title,artist,listType,Gross,Tickets_Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank
I'm in Love with a Church Girl,High Top Releasing,Drama,2387730.0,293693.0,189.0,2013.0,601.9604329880017,243.79401796180701,3,14.685853681775631
Jackass Presents: Bad Grandpa,Paramount Pictures,Comedy,101625444.0,12500054.0,31.0,2013.0,612.8695238970926,227.03120985763812,17,18.436804494826394
Tyler Perry's Temptation,Lionsgate,Drama,51975354.0,6393032.0,67.0,2013.0,611.5840724851871,259.005380912845,15,17.766280202651966
Homefront,Open Road,Action,20158492.0,2479519.0,112.0,2013.0,593.4791315073305,271.50382530358144,7,16.819136196782363
The Wizard of Oz,Warner Bros.,Musical,5509334.0,677654.0,164.0,2013.0,582.3989184537669,276.111306034701,5,15.521954302680216
Saving Mr. Banks,Walt Disney,Drama,58958280.0,7251940.0,60.0,2013.0,566.8957357593366,288.74662662197204,15,17.892340633099618
Dead Man Down,FilmDistrict,Thriller/Suspense,10895295.0,1340134.0,138.0,2013.0,552.6160773485597,274.74336429951563,5,16.203841602634952
Rush,Universal,Drama,26947624.0,3314590.0,97.0,2013.0,539.6338418573534,269.5029862930292,9,17.109405688167364
La Vie d'Adèle,Mongrel Media,Drama,2426783.0,298497.0,187.0,2013.0,538.9515743144312,257.5223973676101,3,14.702077069916134
This is the End,Sony Pictures,Comedy,101470202.0,12480959.0,32.0,2013.0,522.0577695596209,246.81728826464683,17,18.435275736989464
Delivery Man,Walt Disney,Comedy,29866438.0,3673608.0,94.0,2013.0,535.1506052495557,224.3544822601342,9,17.21224593299774
American Hustle,Sony Pictures,Black Comedy,87903772.0,10812272.0,41.0,2013.0,547.9766967364259,201.73830713765966,17,18.29175327413515
Man of Steel,Warner Bros.,Action,291045518.0,35798956.0,5.0,2013.0,588.9498805612399,192.50801964170358,25,19.48899023214754
Escape Plan,Lionsgate,Thriller/Suspense,25063555.0,3082848.0,102.0,2013.0,621.4520113800845,202.48857534941374,9,17.036925356908196
The Place Beyond the Pines,Focus Features,Drama,21403519.0,2632659.0,111.0,2013.0,632.8428653094753,213.72460875801855,7,16.879065905725763
Lee Daniels' The Butler,Weinstein Co.,Drama,116293662.0,14304263.0,25.0,2013.0,648.904157258002,235.4279472326448,20,18.571629119013338
The Wolverine,20th Century Fox,Action,132556852.0,16304655.0,21.0,2013.0,642.7410858476196,274.95030230911425,20,18.702522183063724
You're Next,Lionsgate,Horror,18494006.0,2274785.0,118.0,2013.0,616.3156124280194,280.4905509091327,7,16.732957237549215
Hyde Park on Hudson,Focus Features,Drama,3166260.0,389453.0,179.0,2013.0,607.1661504691081,276.454792509224,3,14.968061638603338
The World's End,Focus Features,Comedy,26004851.0,3198628.0,99.0,2013.0,600.029112724536,286.10169316345247,9,17.073793655505522
The Internship,20th Century Fox,Comedy,44672764.0,5494804.0,75.0,2013.0,589.422627687996,305.3760926396917,13,17.614874567393468
Oz the Great and Powerful,Walt Disney,Adventure,234770996.0,28877121.0,9.0,2013.0,560.5805418100888,325.20370172932786,22,19.27412111188275
Rise of the Guardians,Paramount Pictures,Adventure,6185091.0,760773.0,156.0,2013.0,550.4761061043033,300.1657229956591,5,15.63765227671585
Grudge Match,Warner Bros.,Comedy,24846211.0,3056114.0,104.0,2013.0,542.8983288215943,288.3938373585295,9,17.028215824032344
Movie 43,Relativity,Comedy,8840453.0,1087386.0,143.0,2013.0,531.2112060998616,280.68597367997637,5,15.994848677644772
About Time,Universal,Romantic Comedy,15323921.0,1884861.0,130.0,2013.0,523.7350157813611,271.29946323564405,7,16.544925629477458
The Smurfs 2,Sony Pictures,Adventure,71017784.0,8735274.0,48.0,2013.0,499.7644867006055,272.48846937046926,17,18.078440882514233
Oblivion,Universal,Thriller/Suspense,89107235.0,10960299.0,40.0,2013.0,488.6792331473199,240.3463295278986,17,18.30535109004229
The Gatekeepers,Sony Pictures Cla...,Documentary,2408553.0,296254.0,188.0,2013.0,507.37367137404027,233.23872941342006,3,14.694536710207847
World War Z,Paramount Pictures,Action,202359711.0,24890493.0,13.0,2013.0,509.92260685307934,210.05245104399617,20,19.125557419239133
Epic,20th Century Fox,Adventure,107518682.0,13224930.0,28.0,2013.0,524.7788804341586,172.9136420258797,20,18.493175176479458
Beautiful Creatures,Warner Bros.,Drama,19452138.0,2392636.0,115.0,2013.0,551.3012560750338,177.9696869588593,7,16.78346754486683
Frances Ha,IFC Films,Comedy,4066826.0,500224.0,171.0,2013.0,558.6074044072211,184.7975853579333,3,15.218373400595715
Parker,FilmDistrict,Thriller/Suspense,17616641.0,2166868.0,121.0,2013.0,564.1145087324027,172.32871573588454,7,16.684354524657707
The Spectacular Now,A24,Drama,6852971.0,842923.0,153.0,2013.0,574.4559989757735,166.24155058728977,5,15.740192838835673
The Croods,20th Century Fox,Adventure,187168425.0,23021946.0,14.0,2013.0,591.066807853369,147.55784034462135,20,19.047519437909607
Jurassic Park,Universal,Adventure,45385935.0,5582525.0,73.0,2013.0,617.452723271718,167.3766058847789,13,17.630712813250984
Disney Planes,Walt Disney,Adventure,90282580.0,11104868.0,38.0,2013.0,641.2535027442887,185.63921513149003,17,18.31845508726336
Space Station,IMAX Films,Documentary,2436846.0,299735.0,186.0,2013.0,638.4448412113574,205.4410185946454,3,14.706215138160884
Ender's Game,Lionsgate,Adventure,61656849.0,7583868.0,57.0,2013.0,666.5689893034798,205.21282339035253,15,17.93709487629456
Metallica Through the Never,Picturehouse,Concert/Perfor...,3419967.0,420660.0,173.0,2013.0,668.3375179628255,223.12573232165326,3,15.045141459869427
2 Guns,Universal,Action,75612460.0,9300425.0,44.0,2013.0,685.814248709357,232.85012857094497,17,18.141131642384106
Mud,Roadside Attractions,Drama,21590086.0,2655607.0,108.0,2013.0,670.9964377047263,254.21440897144169,9,16.88774478580867
2013 Oscar Shorts,Shorts International,Multiple Genres,2142342.0,263510.0,195.0,2013.0,659.1342153510099,256.02760527382804,3,14.577410181110459
Django Unchained,Weinstein Co.,Western,56525312.0,6952682.0,62.0,2013.0,677.6641568699476,277.26959322864815,15,17.850199095794633
Pain & Gain,Paramount Pictures,Action,49875291.0,6134722.0,70.0,2013.0,663.0391327730255,303.46326937699445,15,17.725036267743747
Mandela: Long Walk to Freedom,Weinstein Co.,Drama,7061587.0,868583.0,150.0,2013.0,643.3514041717843,299.9428514296659,5,15.770180371743903
Insidious Chapter 2,FilmDistrict,Horror,83586447.0,10281235.0,42.0,2013.0,622.1080986233543,305.6631634295521,17,18.24139194768763
This is 40,Universal,Comedy,13289310.0,1634601.0,133.0,2013.0,603.2174978560885,316.93903158467776,5,16.402470510605713
Renoir,Samuel Goldwyn Films,Drama,2291047.0,281801.0,192.0,2013.0,595.839914726142,320.0327780449955,3,14.644519476284128
CitizenFour,RADiUS-TWC,Documentary,2263209.0,277014.0,200.0,2014.0,589.9899205055293,321.3660325663824,3,14.63229427563179
Edge of Tomorrow,Warner Bros.,Action,100206256.0,12265147.0,31.0,2014.0,596.5584446795709,340.25662520332816,17,18.42274117979579
Labor Day,Paramount Pictures,Drama,13371528.0,1636661.0,135.0,2014.0,575.7894697529249,347.51263516034646,5,16.408638228262298
