Movie,Distributor,Genre,Gross,Tickets Sold,rank,releaseYear,radius,x,y
,,,,,,,50,-238.48200378424232,261.6647106932794
Hyde Park on Hudson,Focus Features,Drama,3166260.0,389453.0,179.0,2013.0,3,-196.48200378424232,261.6647106932794
Anchorman 2: The Legend Con...,Paramount Pictures,Comedy,108773941.0,13379328.0,27.0,2013.0,20,-225.29152759376615,227.09577466874316
Frozen,Walt Disney,Musical,296691729.0,36493447.0,4.0,2013.0,25,-225.29152759376615,296.2336467178157
Before Midnight,Sony Pictures Cla...,Drama,8110621.0,997616.0,144.0,2013.0,5,-269.8062933247481,289.64307527705313
To the Arctic 3D,Warner Bros.,Documentary,2930286.0,360428.0,181.0,2013.0,3,-274.3736589693403,239.85212056569415
The Smurfs 2,Sony Pictures,Adventure,71017784.0,8735274.0,48.0,2013.0,17,-254.31463866440214,199.57016797640077
The Counselor,20th Century Fox,Thriller/Suspense,16960224.0,2086128.0,124.0,2013.0,7,-214.38843542793057,186.53566395361696
Pacific Rim,Warner Bros.,Action,101802906.0,12521882.0,30.0,2013.0,20,-186.3624099793053,217.8173182825205
A Good Day to Die Hard,20th Century Fox,Action,67349198.0,8284034.0,51.0,2013.0,15,-155.4458071164332,243.1976978584734
42,Warner Bros.,Drama,95020213.0,11687603.0,35.0,2013.0,17,-156.9528658182498,283.16929745205084
Oldboy,FilmDistrict,Action,2193658.0,269822.0,194.0,2013.0,3,-185.7623896277736,317.7382334765871
Metallica Through the Never,Picturehouse,Concert/Perfor...,3419967.0,420660.0,173.0,2013.0,3,-230.03044908714628,340.98342462876826
Grown Ups 2,Sony Pictures,Comedy,133668525.0,16441392.0,20.0,2013.0,20,-274.5452148181282,334.3928531880057
Jobs,Open Road,Drama,16131410.0,1984183.0,126.0,2013.0,7,-310.63926957924906,312.9168384063659
Baggage Claim,Fox Searchlight,Romantic Comedy,21569509.0,2653076.0,109.0,2013.0,9,-311.99983370211487,268.9378790591102
White House Down,Sony Pictures,Thriller/Suspense,73103784.0,8991855.0,45.0,2013.0,17,-317.5909911307509,227.31169789138585
Despicable Me 2,Universal,Adventure,367956735.0,45259130.0,3.0,2013.0,25,-294.04956815639105,194.97284503074337
Blue Jasmine,Sony Pictures Cla...,Comedy,32744634.0,4027630.0,87.0,2013.0,13,-270.2007049500562,162.86004814592616
Elysium,Sony Pictures,Action,93050117.0,11445278.0,36.0,2013.0,17,-232.76480292368737,148.76915607082626
Oz the Great and Powerful,Walt Disney,Adventure,234770996.0,28877121.0,9.0,2013.0,22,-192.80258033268137,150.50719104944153
Last Vegas,CBS Films,Comedy,63112318.0,7762892.0,56.0,2013.0,15,-168.30287135908682,182.1262400580561
Hansel & Gretel: Witch Hunters,Paramount Pictures,Action,55703475.0,6851595.0,63.0,2013.0,15,-137.3862684962147,207.50661963400898
A Haunted House,Open Road,Comedy,40041683.0,4925176.0,79.0,2013.0,13,-115.50665737548019,240.9921779719766
In a World...,Roadside Attractions,Comedy,2963271.0,364485.0,180.0,2013.0,3,-112.03325687101587,285.85792759165406
Man of Steel,Warner Bros.,Action,291045518.0,35798956.0,5.0,2013.0,25,-140.84278068053968,320.4268636161903
Carrie,Sony Pictures,Horror,35266619.0,4337837.0,84.0,2013.0,13,-160.72968092392347,355.13293223119916
