title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
Despicable Me 2,Universal,Adventure,19.72347592128677,45259130.0,3.0,2013.0,494.7903067695081,251.4495628040911,25
Homefront,Open Road,Action,16.819136196782363,2479519.0,112.0,2013.0,470.42667040587173,230.70316014867888,7
Disney Planes,Walt Disney,Adventure,18.31845508726336,11104868.0,38.0,2013.0,460.07303303626713,209.05131973686338,17
The Fifth Estate,Walt Disney,Drama,14.995448423385081,400267.0,176.0,2013.0,475.3271643841289,221.98621350612876,3
Riddick,Universal,Action,17.55377844962738,5169143.0,78.0,2013.0,489.6960041349685,213.7925836280111,13
Machete Kills,Open Road,Action,15.895971704670197,985013.0,145.0,2013.0,505.014098697694,223.24541277950854,5
Inside Llewyn Davis,CBS Films,Drama,15.864232291195611,954240.0,147.0,2013.0,513.7159992439026,228.17257493270523,5
No,Sony Pictures Cla...,Drama,14.666185281753565,287973.0,190.0,2013.0,517.5776554043271,235.1788301163719,3
After Earth,Sony Pictures,Action,17.91851909598672,7444292.0,59.0,2013.0,533.8569423444359,242.8589874534064,15
Closed Circuit,Focus Features,Thriller/Suspense,15.564883441281498,707379.0,162.0,2013.0,523.5469571718864,259.9967879465214,5
Emperor,Roadside Attractions,Drama,15.023355057595769,411594.0,174.0,2013.0,518.5583615259767,266.25089967254695,3
World War Z,Paramount Pictures,Action,19.125557419239133,24890493.0,13.0,2013.0,519.2193265748606,289.2414004327338,20
Argo,Warner Bros.,Thriller/Suspense,17.070470798326465,3188017.0,100.0,2013.0,490.50534758257385,285.1784691718687,9
Rise of the Guardians,Paramount Pictures,Adventure,15.63765227671585,760773.0,156.0,2013.0,479.11991888728284,277.0315670965739,5
Olympus Has Fallen,FilmDistrict,Thriller/Suspense,18.409898746560433,12168215.0,33.0,2013.0,463.1932962025208,292.20861192938713,17
One Direction: This is Us,Sony Pictures,Concert/Perfor...,17.178430413532357,3551460.0,95.0,2013.0,437.25857865312514,290.367301082988,9
Spring Breakers,A24,Thriller/Suspense,16.463406285046585,1737304.0,132.0,2013.0,425.1958916660577,283.26155814842906,5
Delivery Man,Walt Disney,Comedy,17.21224593299774,3673608.0,94.0,2013.0,411.9418238542188,278.7527127929997,9
Promised Land,Focus Features,Drama,14.979429510173025,393906.0,177.0,2013.0,410.5930387567125,266.82875460954637,3
Gangster Squad,Warner Bros.,Action,17.644171584695478,5658167.0,71.0,2013.0,397.2841394237926,257.94769619592216,13
You're Next,Lionsgate,Horror,16.732957237549215,2274785.0,118.0,2013.0,404.8023249674551,239.4145667750428,7
The Mortal Instruments: Cit...,Sony Pictures,Adventure,17.25481973687763,3833385.0,93.0,2013.0,411.31551280745236,224.8002455742168,9
Fruitvale Station,Weinstein Co.,Drama,16.594267591993106,1980196.0,127.0,2013.0,425.4669096786914,217.33445917272596,7
47 Ronin,Universal,Action,17.302508806466413,4020624.0,88.0,2013.0,432.0137680306193,198.43634694637404,13
Home Run,Samuel Goldwyn Films,Drama,14.866316448406517,351777.0,182.0,2013.0,447.28781307114383,193.67152290974593,3
The Hobbit: The Desolation ...,Warner Bros.,Adventure,19.24894566010423,28159201.0,10.0,2013.0,456.05425662923835,170.25893084174237,22
The Great Gatsby,Warner Bros.,Drama,18.79114313570481,17815549.0,17.0,2013.0,496.5203546927062,181.50592633021847,20
Warm Bodies,Lionsgate,Romantic Comedy,18.01091633708977,8164903.0,52.0,2013.0,518.6542337839902,208.6184953042648,15
Pulling Strings,Lionsgate,Romantic Comedy,15.580748246860868,718691.0,161.0,2013.0,532.6609352726305,222.89478030450636,5
Jack the Giant Slayer,Warner Bros.,Adventure,17.992779870781543,8018155.0,53.0,2013.0,552.3190571031176,219.21262793154207,15
