,title,artist,listType,listHighestRank,Tickets Sold,rank_each_year,releaseYear,x,y,rank
0,Iron Man 3,Walt Disney,Action,19.82920681896304,50306552,1,2013,887.85,169.88,23.0
1,The Hunger Games: Catching ...,Lionsgate,Adventure,19.824666925299468,50078683,2,2013,930.5,265.54,25.0
2,Despicable Me 2,Universal,Adventure,19.72347592128677,45259130,3,2013,784.02,145.53,33.0
3,Frozen,Walt Disney,Musical,19.508204208229415,36493447,4,2013,859.17,281.43,52.0
4,Man of Steel,Warner Bros.,Action,19.48899023214754,35798956,5,2013,815.22,302.71,53.0
5,Monsters University,Walt Disney,Adventure,19.408318003556914,33024394,6,2013,1431.7,196.4,55.0
6,Gravity,Warner Bros.,Thriller/Suspense,19.359209046045528,31441779,7,2013,935.93,374.92,60.0
7,Fast and Furious 6,Universal,Action,19.290633672161448,29357915,8,2013,1771.79,307.04,64.0
8,Oz the Great and Powerful,Walt Disney,Adventure,19.27412111188275,28877121,9,2013,889.49,342.36,66.0
9,The Hobbit: The Desolation ...,Warner Bros.,Adventure,19.24894566010423,28159201,10,2013,1281.8,312.12,69.0
10,Star Trek Into Darkness,Paramount Pictures,Adventure,19.24826554826034,28140056,11,2013,1630.78,267.28,70.0
11,Thor: The Dark World,Walt Disney,Action,19.130926919895103,25024502,12,2013,785.42,357.28,88.0
12,World War Z,Paramount Pictures,Action,19.125557419239133,24890493,13,2013,1106.33,316.26,90.0
13,The Croods,20th Century Fox,Adventure,19.047519437909607,23021946,14,2013,1040.88,315.32,105.0
14,The Heat,20th Century Fox,Comedy,18.888065866650205,19628731,15,2013,1324.26,345.69,140.0
15,We're the Millers,Warner Bros.,Comedy,18.828769866321878,18498661,16,2013,999.25,144.47,152.0
16,The Great Gatsby,Warner Bros.,Drama,18.79114313570481,17815549,17,2013,1320.26,202.68,159.0
17,The Conjuring,Warner Bros.,Horror,18.73840796395287,16900386,18,2013,639.6,209.81,168.0
18,Identity Thief,Universal,Comedy,18.717126205496797,16544516,19,2013,1148.18,143.03,170.0
19,Grown Ups 2,Sony Pictures,Comedy,18.710873599249233,16441392,20,2013,894.28,396.72,173.0
20,The Wolverine,20th Century Fox,Action,18.702522183063724,16304655,21,2013,1249.54,161.9,174.0
21,G.I. Joe: Retaliation,Paramount Pictures,Action,18.623809815131168,15070487,22,2013,835.71,195.25,192.0
22,Now You See Me,Lionsgate,Thriller/Suspense,18.58385336624644,14480195,23,2013,644.83,340.57,198.0
23,Cloudy with a Chance of Mea...,Sony Pictures,Adventure,18.582920649026445,14466695,24,2013,1799.63,185.75,199.0
24,Lee Daniels' The Butler,Weinstein Co.,Drama,18.571629119013338,14304263,25,2013,1366.95,294.01,203.0
25,The Hangover 3,Warner Bros.,Comedy,18.535794192763895,13800746,26,2013,973.24,173.41,212.0
26,Anchorman 2: The Legend Con...,Paramount Pictures,Comedy,18.50478235083068,13379328,27,2013,947.75,122.44,219.0
27,Epic,20th Century Fox,Adventure,18.493175176479458,13224930,28,2013,1582.0,243.23,222.0
28,Captain Phillips,Sony Pictures,Drama,18.467895706237705,12894801,29,2013,1110.69,193.71,231.0
29,Pacific Rim,Warner Bros.,Action,18.43854920784222,12521882,30,2013,1066.38,365.37,241.0
30,Jackass Presents: Bad Grandpa,Paramount Pictures,Comedy,18.436804494826394,12500054,31,2013,1324.04,152.33,243.0
31,This is the End,Sony Pictures,Comedy,18.435275736989464,12480959,32,2013,1287.86,182.86,244.0
32,Olympus Has Fallen,FilmDistrict,Thriller/Suspense,18.409898746560433,12168215,33,2013,1724.37,313.5,256.0
33,Silver Linings Playbook,Weinstein Co.,Drama,18.394502966300138,11982311,34,2013,1724.4,165.94,258.0
34,42,Warner Bros.,Drama,18.36960019535388,11687603,35,2013,1268.22,375.99,264.0
35,Elysium,Sony Pictures,Action,18.348648798440244,11445278,36,2013,1576.01,179.94,269.0
36,Zero Dark Thirty,Sony Pictures,Thriller/Suspense,18.329821004232,11231805,37,2013,1065.89,217.75,277.0
37,Disney Planes,Walt Disney,Adventure,18.31845508726336,11104868,38,2013,731.04,342.49,281.0
38,The Lone Ranger,Walt Disney,Western,18.307535729776788,10984269,39,2013,694.87,230.36,286.0
39,Oblivion,Universal,Thriller/Suspense,18.30535109004229,10960299,40,2013,1014.99,341.95,289.0
40,American Hustle,Sony Pictures,Black Comedy,18.29175327413515,10812272,41,2013,1550.99,273.56,290.0
41,Insidious Chapter 2,FilmDistrict,Horror,18.24139194768763,10281235,42,2013,1601.06,215.32,304.0
42,Turbo,20th Century Fox,Adventure,18.234690024004582,10212562,43,2013,946.59,415.46,307.0
43,2 Guns,Universal,Action,18.141131642384106,9300425,44,2013,1339.23,274.67,326.0
44,White House Down,Sony Pictures,Thriller/Suspense,18.10739068808614,8991855,45,2013,1652.63,300.72,338.0
45,Mama,Universal,Horror,18.08699912991938,8810354,46,2013,774.09,405.02,344.0
46,Safe Haven,Relativity,Drama,18.08379610230389,8782179,47,2013,1772.38,166.04,347.0
47,The Smurfs 2,Sony Pictures,Adventure,18.078440882514233,8735274,48,2013,862.15,103.82,349.0
48,The Best Man Holiday,Universal,Comedy,18.071019503533925,8670686,49,2013,1147.9,249.94,353.0
49,Percy Jackson: Sea of Monsters,20th Century Fox,Adventure,18.042610107319476,8427824,50,2013,1314.02,122.06,362.0
50,A Good Day to Die Hard,20th Century Fox,Action,18.02540155280617,8284034,51,2013,1214.15,361.78,366.0
51,Warm Bodies,Lionsgate,Romantic Comedy,18.01091633708977,8164903,52,2013,759.46,293.85,370.0
